n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
512,4.296875,2.1484375,6.640625,0.0,qwen3,gsm8k_train,hellaswag,mlp_only,softmax_plus_mlp,0.0,True,True
512,-4.296875,-6.640625,-1.953125,0.0,falcon,ultrachat,hellaswag,all_eligible,__base__,0.0,True,True
512,-6.0546875,-8.7890625,-3.3203125,0.0002,qwen3,gsm8k_train,hellaswag,softmax_only,mlp_only,0.004,True,True
512,4.296875,1.7578125,6.8359375,0.0006,qwen3,gsm8k_train,hellaswag,mlp_only,__base__,0.011399999999999999,True,True
512,-5.2734375,-8.3984375,-2.34375,0.0008,qwen3,gsm8k_train,hellaswag,softmax_only,gdn_only,0.014400000000000001,True,True
512,-3.90625,-6.25,-1.5625,0.0008,falcon,ultrachat,hellaswag,attention_plus_mlp,__base__,0.016,True,True
256,8.59375,3.125,14.0625,0.0018,falcon,ultrachat,gsm8k,attention_plus_mlp,__base__,0.0378,True,True
256,8.59375,3.125,14.0625,0.002,falcon,ultrachat,gsm8k,ssm_plus_mlp,__base__,0.04,True,True
512,-3.7109375,-6.25,-1.171875,0.0022,falcon,ultrachat,hellaswag,mlp_only,__base__,0.041800000000000004,True,True
256,8.984375,3.125,14.84375,0.0022,falcon,ultrachat,gsm8k,ssm_only,__base__,0.041800000000000004,True,True
256,7.8125,2.734375,12.890625,0.004,falcon,codealpaca,gsm8k,all_eligible,__base__,0.084,True,False
256,7.421875,2.34375,12.5,0.0046,falcon,codealpaca,gsm8k,ssm_plus_mlp,__base__,0.092,True,False
512,-4.4921875,-7.6171875,-1.5625,0.0052,qwen3,ultrachat,hellaswag,all_layers,gdn_plus_mlp,0.10919999999999999,True,False
299,-3.3444816053511706,-5.68561872909699,-1.0033444816053512,0.0058,falcon,gsm8k_train,arc_challenge,mlp_only,__base__,0.12179999999999999,True,False
299,-3.3444816053511706,-5.68561872909699,-1.0033444816053512,0.0066,falcon,gsm8k_train,arc_challenge,attention_plus_mlp,__base__,0.132,True,False
512,-2.734375,-4.8828125,-0.78125,0.0072,falcon,ultrachat,hellaswag,all_eligible,attention_only,0.1296,True,False
299,4.013377926421405,1.0033444816053512,7.023411371237458,0.0088,qwen3,gsm8k_train,arc_challenge,all_layers,softmax_plus_mlp,0.18480000000000002,True,False
256,8.203125,2.34375,14.072265624999858,0.0092,falcon,ultrachat,gsm8k,all_eligible,__base__,0.1656,True,False
299,-3.0100334448160537,-5.351170568561873,-0.6688963210702341,0.0104,falcon,gsm8k_train,arc_challenge,all_eligible,__base__,0.1976,True,False
299,-3.0100334448160537,-5.351170568561873,-0.6688963210702341,0.0106,falcon,gsm8k_train,arc_challenge,ssm_plus_mlp,__base__,0.1976,True,False
512,-2.9296875,-5.2734375,-0.78125,0.0114,qwen3,gsm8k_train,mmlu,all_layers,gdn_plus_mlp,0.2394,True,False
512,3.515625,0.78125,6.25,0.013,qwen3,gsm8k_train,hellaswag,gdn_only,softmax_plus_mlp,0.221,True,False
512,3.515625,0.78125,6.25,0.0144,qwen3,gsm8k_train,hellaswag,gdn_only,__base__,0.2304,True,False
512,-4.8828125,-8.7890625,-0.9765625,0.0146,qwen3,ultrachat,hellaswag,all_layers,softmax_only,0.292,True,False
299,3.678929765886288,1.0033444816053512,6.688963210702341,0.0148,qwen3,gsm8k_train,arc_challenge,all_layers,mlp_only,0.29600000000000004,True,False
