model_key,condition,train_dataset,on_target_delta_reported,on_target_delta_corrected,off_target_delta_reported,off_target_delta_corrected,mean_acc_reported,mean_acc_corrected
falcon_h1_0_5b_base,all_eligible,codealpaca,,,-0.01443450825668896,0.00997955424331104,0.3830411266722408,0.49850191488880125
falcon_h1_0_5b_base,all_eligible,gsm8k_train,0.12109375,0.0234375,-0.019799069816053505,-0.019799069816053505,0.5086600517349498,0.5213553642349498
falcon_h1_0_5b_base,all_eligible,ultrachat,-0.021386392140468224,-0.021386392140468224,0.046875,0.08203125,0.4889148724916388,0.5348133099916388
falcon_h1_0_5b_base,attention_only,codealpaca,,,0.001605285848662208,0.009417785848662208,0.3958729619565217,0.5001031448833511
falcon_h1_0_5b_base,attention_only,gsm8k_train,0.171875,0.05859375,-0.011808023272017834,-0.011808023272017834,0.5273486491429766,0.5361377116429766
falcon_h1_0_5b_base,attention_only,ultrachat,-0.010693196070234112,-0.010693196070234112,0.1015625,0.05078125,0.5106066445443144,0.5350207070443144
falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,,,-0.014086669105351168,0.0034914558946488317,0.38331939799331105,0.4904840321396525
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,0.109375,-0.01171875,-0.015054522017837227,-0.015054522017837227,0.509288775083612,0.516124712583612
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,-0.023339517140468224,-0.023339517140468224,0.109375,0.0859375,0.5030750287416388,0.5343250287416388
falcon_h1_0_5b_base,mlp_only,codealpaca,,,-0.023992736204013376,0.0013978887959866237,0.37539454431438124,0.49002869065584476
falcon_h1_0_5b_base,mlp_only,gsm8k_train,0.125,0.01171875,-0.01635660535117056,-0.01635660535117056,0.512218462583612,0.521007525083612
falcon_h1_0_5b_base,mlp_only,ultrachat,-0.021199136008918613,-0.021199136008918613,0.0859375,0.0546875,0.498820939590301,0.5281178145903009
falcon_h1_0_5b_base,ssm_only,codealpaca,,,-0.01994604410535117,0.009350830894648832,0.37863189799331104,0.5000495809201404
falcon_h1_0_5b_base,ssm_only,gsm8k_train,0.0859375,0.01953125,-0.010969725473801558,-0.010969725473801558,0.5064929974916388,0.5270008099916388
falcon_h1_0_5b_base,ssm_only,ultrachat,-0.008927327201783722,-0.008927327201783722,0.10546875,0.08984375,0.5129076086956521,0.5461107336956521
falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,,,-0.01492278950668896,0.01144439799331104,0.3826505016722408,0.49562687362346036
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,0.125,0.0390625,-0.018496986482720173,-0.018496986482720173,0.5106131767349498,0.5262381767349498
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,-0.014135660535117056,-0.014135660535117056,0.08984375,0.0859375,0.5050951086956521,0.5412279211956521
qwen3_5_0_8b_base,all_layers,codealpaca,,,-0.051824767454013376,-0.007879454954013376,0.3440909803511706,0.45180820596092663
qwen3_5_0_8b_base,all_layers,gsm8k_train,0.078125,0.0703125,0.0070634754738015575,0.0070634754738015575,0.5067673494983278,0.5360642244983278
qwen3_5_0_8b_base,all_layers,ultrachat,-0.013020833333333334,-0.013020833333333334,-0.15625,-0.05859375,0.4331103678929766,0.4887744303929766
qwen3_5_0_8b_base,gdn_only,codealpaca,,,-0.05385137959866221,-0.015765442098662208,0.3424696906354515,0.44915795283057347
qwen3_5_0_8b_base,gdn_only,gsm8k_train,-0.1484375,0.015625,0.013671875,0.013671875,0.4550830241429766,0.5273486491429766
qwen3_5_0_8b_base,gdn_only,ultrachat,-0.009114583333333334,-0.009114583333333334,-0.0546875,-0.05859375,0.4614306803929766,0.4917041178929766
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,,,-0.018621642454013376,-0.0020200799540133763,0.37065348035117057,0.45405668157068274
qwen3_5_0_8b_base,gdn_plus_mlp,gsm8k_train,-0.09375,0.0703125,0.00568082845596433,0.00568082845596433,0.4627616142349498,0.5350272392349498
qwen3_5_0_8b_base,gdn_plus_mlp,ultrachat,0.005297606605351168,0.005297606605351168,-0.1328125,0.0,0.45270857284698995,0.51716169784699
qwen3_5_0_8b_base,mlp_only,codealpaca,,,-0.014233643394648832,-0.0005617683946488317,0.3741638795986622,0.45522333081817445
qwen3_5_0_8b_base,mlp_only,gsm8k_train,0.0859375,-0.0078125,0.004566001254180607,0.004566001254180607,0.506847368833612,0.514659868833612
qwen3_5_0_8b_base,mlp_only,ultrachat,0.0077145171404682245,0.0077145171404682245,-0.15234375,-0.0234375,0.44963844324832775,0.5131150057483278
qwen3_5_0_8b_base,softmax_only,codealpaca,,,-0.02287573160535117,-0.0033444816053511683,0.3672502090301003,0.45055813585936855
qwen3_5_0_8b_base,softmax_only,gsm8k_train,0.1015625,-0.0234375,-0.005484862736900779,-0.005484862736900779,0.5032154708403009,0.5032154708403009
qwen3_5_0_8b_base,softmax_only,ultrachat,0.00836555880713489,0.00836555880713489,-0.0390625,-0.05078125,0.47844703699832775,0.5067673494983278
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,,,-0.04868768290133779,-0.006695495401337792,0.34660064799331103,0.4539748857981891
qwen3_5_0_8b_base,softmax_plus_mlp,gsm8k_train,-0.1484375,0.015625,-0.009569659280936449,-0.009569659280936449,0.43765187343227424,0.5099174984322743
qwen3_5_0_8b_base,softmax_plus_mlp,ultrachat,-0.002693439938684502,-0.002693439938684502,-0.16015625,-0.03125,0.4398793504389632,0.5033559129389632
