model_key,train_dataset,condition,arc_challenge,gsm8k,hellaswag,humaneval,mmlu
falcon_h1_0_5b_base,codealpaca,all_eligible,0.725752508361204,0.60546875,0.314453125,0.33121019108280253,0.515625
falcon_h1_0_5b_base,codealpaca,attention_only,0.7391304347826086,0.5703125,0.3359375,0.34146341463414637,0.513671875
falcon_h1_0_5b_base,codealpaca,attention_plus_mlp,0.7290969899665551,0.58203125,0.318359375,0.3170731707317073,0.505859375
falcon_h1_0_5b_base,codealpaca,mlp_only,0.7324414715719063,0.5703125,0.3125,0.3231707317073171,0.51171875
falcon_h1_0_5b_base,codealpaca,ssm_only,0.7290969899665551,0.5859375,0.326171875,0.34146341463414637,0.517578125
falcon_h1_0_5b_base,codealpaca,ssm_plus_mlp,0.725752508361204,0.60546875,0.31640625,0.31097560975609756,0.51953125
falcon_h1_0_5b_base,gsm8k_train,all_eligible,0.7123745819397993,0.5546875,0.302734375,,0.515625
falcon_h1_0_5b_base,gsm8k_train,attention_only,0.7324414715719063,0.58984375,0.3203125,,0.501953125
falcon_h1_0_5b_base,gsm8k_train,attention_plus_mlp,0.7090301003344481,0.51953125,0.326171875,,0.509765625
falcon_h1_0_5b_base,gsm8k_train,mlp_only,0.7090301003344481,0.54296875,0.326171875,,0.505859375
falcon_h1_0_5b_base,gsm8k_train,ssm_only,0.7290969899665551,0.55078125,0.3046875,,0.5234375
falcon_h1_0_5b_base,gsm8k_train,ssm_plus_mlp,0.7123745819397993,0.5703125,0.306640625,,0.515625
falcon_h1_0_5b_base,ultrachat,all_eligible,0.7290969899665551,0.61328125,0.287109375,,0.509765625
falcon_h1_0_5b_base,ultrachat,attention_only,0.7357859531772575,0.58203125,0.314453125,,0.5078125
falcon_h1_0_5b_base,ultrachat,attention_plus_mlp,0.7290969899665551,0.6171875,0.291015625,,0.5
falcon_h1_0_5b_base,ultrachat,mlp_only,0.725752508361204,0.5859375,0.29296875,,0.5078125
falcon_h1_0_5b_base,ultrachat,ssm_only,0.7391304347826086,0.62109375,0.306640625,,0.517578125
falcon_h1_0_5b_base,ultrachat,ssm_plus_mlp,0.7391304347826086,0.6171875,0.30078125,,0.5078125
qwen3_5_0_8b_base,codealpaca,all_layers,0.7224080267558528,0.37890625,0.43359375,0.23780487804878048,0.486328125
qwen3_5_0_8b_base,codealpaca,gdn_only,0.7357859531772575,0.37890625,0.396484375,0.25609756097560976,0.478515625
qwen3_5_0_8b_base,codealpaca,gdn_plus_mlp,0.7224080267558528,0.41796875,0.42578125,0.22560975609756098,0.478515625
qwen3_5_0_8b_base,codealpaca,mlp_only,0.745819397993311,0.3828125,0.42578125,0.22560975609756098,0.49609375
qwen3_5_0_8b_base,codealpaca,softmax_only,0.7190635451505016,0.38671875,0.427734375,0.21341463414634146,0.505859375
qwen3_5_0_8b_base,codealpaca,softmax_plus_mlp,0.7290969899665551,0.390625,0.412109375,0.24390243902439024,0.494140625
qwen3_5_0_8b_base,gsm8k_train,all_layers,0.745819397993311,0.4921875,0.43359375,,0.47265625
qwen3_5_0_8b_base,gsm8k_train,gdn_only,0.7324414715719063,0.4375,0.451171875,,0.48828125
qwen3_5_0_8b_base,gsm8k_train,gdn_plus_mlp,0.7123745819397993,0.4921875,0.43359375,,0.501953125
qwen3_5_0_8b_base,gsm8k_train,mlp_only,0.7090301003344481,0.4140625,0.458984375,,0.4765625
qwen3_5_0_8b_base,gsm8k_train,softmax_only,0.725752508361204,0.3984375,0.3984375,,0.490234375
qwen3_5_0_8b_base,gsm8k_train,softmax_plus_mlp,0.705685618729097,0.4375,0.416015625,,0.48046875
qwen3_5_0_8b_base,ultrachat,all_layers,0.7324414715719063,0.36328125,0.373046875,,0.486328125
qwen3_5_0_8b_base,ultrachat,gdn_only,0.7324414715719063,0.36328125,0.3828125,,0.48828125
qwen3_5_0_8b_base,ultrachat,gdn_plus_mlp,0.7424749163879598,0.421875,0.41796875,,0.486328125
qwen3_5_0_8b_base,ultrachat,mlp_only,0.745819397993311,0.3984375,0.416015625,,0.4921875
qwen3_5_0_8b_base,ultrachat,softmax_only,0.745819397993311,0.37109375,0.421875,,0.48828125
qwen3_5_0_8b_base,ultrachat,softmax_plus_mlp,0.7224080267558528,0.390625,0.400390625,,0.5
