model_key,condition,train_dataset,seed,rank,target_mean_delta_vs_base,non_target_mean_delta_vs_base,forgetting_score,mean_accuracy,mean_efficiency_ratio,trainable_params,pct_trainable,estimated_cu
falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,,-0.01443450825668896,0.01443450825668896,0.478801408340301,-0.0035989998623978496,11466496.0,2.1518067188412497,4.010699863453706
falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,16.0,0.12109375,-0.019799069816053505,0.019799069816053505,0.5086600517349498,0.0028120823320748607,11466496.0,2.1518067188412497,5.4849514760043885
falcon_h1_0_5b_base,all_eligible,ultrachat,3407,16.0,-0.021386392140468224,0.046875,-0.046875,0.4889148724916388,,11466496.0,2.1518067188412497,
falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,,0.001605285848662208,-0.001605285848662208,0.49484120244565216,0.00040607335728531316,2211840.0,0.4224108254507656,3.953191756765048
falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,16.0,0.171875,-0.011808023272017834,0.011808023272017834,0.5273486491429766,0.014480313022996204,2211840.0,0.4224108254507656,2.3558007683820197
falcon_h1_0_5b_base,attention_only,ultrachat,3407,16.0,-0.010693196070234112,0.1015625,-0.1015625,0.5106066445443144,,2211840.0,0.4224108254507656,
falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,,-0.014086669105351168,0.014086669105351168,0.38331939799331105,,7520256.0,1.421782970100317,
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,16.0,0.109375,-0.015054522017837227,0.015054522017837227,0.509288775083612,0.0029645825127083566,7520256.0,1.421782970100317,5.414879976458019
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,16.0,-0.023339517140468224,0.109375,-0.109375,0.5030750287416388,,7520256.0,1.421782970100317,
falcon_h1_0_5b_base,mlp_only,codealpaca,3407,16.0,,-0.023992736204013376,0.023992736204013376,0.4692431803929766,-0.00604594119853651,5308416.0,1.0078259488085803,3.9684038293030524
falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,16.0,0.125,-0.01635660535117056,0.01635660535117056,0.512218462583612,8.185174495294328,5308416.0,1.0078259488085803,0.002319137606355879
falcon_h1_0_5b_base,mlp_only,ultrachat,3407,16.0,-0.021199136008918613,0.0859375,-0.0859375,0.498820939590301,,5308416.0,1.0078259488085803,
falcon_h1_0_5b_base,ssm_only,codealpaca,3407,16.0,,-0.01994604410535117,0.01994604410535117,0.4732898724916388,-0.005060579478796851,2520576.0,0.4810886793484219,3.941454568379455
falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,16.0,0.0859375,-0.010969725473801558,0.010969725473801558,0.5064929974916388,0.002472093018002681,2520576.0,0.4810886793484219,5.362695011112424
falcon_h1_0_5b_base,ssm_only,ultrachat,3407,16.0,-0.008927327201783722,0.10546875,-0.10546875,0.5129076086956521,,2520576.0,0.4810886793484219,
falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,16.0,,-0.01492278950668896,0.01492278950668896,0.3826505016722408,,7828992.0,1.4792892789438237,
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,16.0,0.125,-0.018496986482720173,0.018496986482720173,0.5106131767349498,1.681013168496027,7828992.0,1.4792892789438237,0.010337372998396556
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,3407,16.0,-0.014135660535117056,0.08984375,-0.08984375,0.5050951086956521,,7828992.0,1.4792892789438237,
